name,age,job,salary
Brent Zuniga,62,"Designer, graphic",45330
Jennifer Jackson,33,Broadcast journalist,104543
David Ochoa,31,Ecologist,51735
Michael Hays,59,Chief of Staff,78164
Michelle Weaver,36,Hospital doctor,102082
Juan Nunez MD,44,Radio producer,32070
Alex Dickerson,46,Copy,59397
Krystal Brown,31,Water quality scientist,49040
Charles Burton,49,Product manager,101805
Michael Wilson,33,Osteopath,57250
Christopher Boyd,49,Animal technologist,70920
Jennifer Moon,56,Actor,79602
James Taylor,40,Herbalist,82353
Craig Nelson,46,Tax inspector,45402
Philip Bright,30,Music tutor,58093
Jason Roy,35,Primary school teacher,119482
Shannon Hill,52,"Merchandiser, retail",108870
Vicki Little PhD,43,"Editor, magazine features",116516
Edward Ray,31,Land,107622
Richard Harris,39,"Administrator, local government",37278
Mr. Scott Preston,50,Advice worker,98887
Sara Day,39,Agricultural engineer,111540
Hunter Cooper,38,"Accountant, chartered certified",74130
David Morgan,41,Risk analyst,87070
Christopher Jackson,42,Social worker,81736
John Hawkins,56,Haematologist,72966
Tara White,50,Barista,57736
Brittany Osborne,46,Clinical biochemist,118037
Devin English,29,Education administrator,79679
Kimberly Williams,41,Theatre director,101430
Kevin Vaughn,57,"Engineer, civil (contracting)",31796
Danielle Vargas,30,"Scientist, research (life sciences)",67597
Terry Clark,63,Restaurant manager,87689
Michelle Martinez,64,Educational psychologist,80603
Michael Morton,64,IT technical support officer,61029
Robert Leonard,64,Museum/gallery conservator,62958
Michelle Beck,57,Graphic designer,108635
Brenda Rowe,46,Medical illustrator,62514
William Johnson,24,"Presenter, broadcasting",39779
Michelle Marshall,53,"Therapist, speech and language",65026
Jessica Johnson,25,Operational investment banker,107195
Stacey Nielsen,50,Software engineer,88482
Robin Smith,59,Theatre director,110443
Hannah Graham,62,Town planner,45300
Sherry Hernandez,36,"Teacher, secondary school",54134
Matthew Hampton,63,Photographer,113506
Desiree Harris MD,57,Sales promotion account executive,115992
Thomas Rose,24,"Therapist, occupational",64355
Jennifer Caldwell,28,Barrister,39186
Jennifer Taylor,21,Analytical chemist,59152
Melissa Mueller,50,Astronomer,86081
Kristin Rivera,31,Speech and language therapist,70710
Terry Garcia,53,Television/film/video producer,47115
Patricia Davis,33,"Surveyor, building control",105820
Mandy Ray,26,Broadcast journalist,92294
Justin Smith,61,"Surveyor, insurance",110583
Jesus Johnson,50,"Scientist, marine",75995
Michael Johnson,58,"Buyer, retail",100970
Amy Harris,36,Educational psychologist,93799
Donald Johnson,64,Town planner,46709
William Smith,41,Communications engineer,93526
Jake Park DDS,28,Training and development officer,76605
Brandi Robinson,61,Sales executive,98275
Jessica Cook,28,Site engineer,37224
Danny Donaldson,52,IT technical support officer,65875
Francisco Warren,41,"Engineer, water",64783
Gabriel Gonzalez,64,Dietitian,84415
Joanna Moore,59,Insurance underwriter,39967
Frances Sanders,42,Firefighter,112557
Thomas Turner,56,Colour technologist,55248
Shaun Fernandez,55,Solicitor,77493
Robert Garza,42,Dietitian,32877
